Filename Data Waveband Target "Polaroid Angle" Binning Lights
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.050.fits OBJECT V script_test 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.051.fits OBJECT V script_test 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.052.fits OBJECT V script_test 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.053.fits OBJECT V script_test 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.054.fits OBJECT V script_test 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.055.fits OBJECT V script_test 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.056.fits OBJECT V script_test 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.057.fits OBJECT V script_test 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.058.fits OBJECT V script_test 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.059.fits OBJECT V script_test 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.060.fits OBJECT V script_test 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.061.fits OBJECT V blank 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.062.fits OBJECT V blank 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.063.fits OBJECT V blank 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.064.fits OBJECT V blank 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.065.fits OBJECT V blank 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.066.fits OBJECT V blank 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.067.fits OBJECT V blank 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.068.fits OBJECT V blank 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.069.fits OBJECT V blank 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.070.fits OBJECT V blank 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.071.fits OBJECT V blank 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.072.fits OBJECT V blank 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.073.fits OBJECT V blank 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.074.fits OBJECT V blank 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.075.fits OBJECT V blank 200 2 N/A
